profile_id,fraud_type,is_fraud,m1_score,m1_risk_level,m1_flags,text_risk,m2a_target,combined_risk,combined_rank
a15ef8aa-49fc-4949-affc-127ce35dee49,,False,0.0,low,,0.610107604257836,0,0.610107604257836,42163.0
7cfef617-4a6b-40a1-89e6-c2a88bab8f55,,False,0.0,low,,0.61602659656583,0,0.61602659656583,38192.0
56a26336-a2aa-4be0-9d5d-edcfe74c845e,,False,0.0,low,,0.6416185588125565,0,0.6416185588125565,18354.0
897c1f8e-557b-498c-b279-4c17f4afecae,,False,0.0,low,,0.6299126055930482,0,0.6299126055930482,26765.0
d7b6925a-86d8-4e70-9d22-3f4e1d82d325,,False,0.2581,low,age_experience,0.6192521057358575,0,0.7175231372454327,2896.0
b89b6bfa-93bf-474d-8eee-097dfa2c0de0,,False,0.0711,low,email_quality,0.6190006449595556,0,0.6460896991029312,15720.0
6b630468-09ea-434f-b789-226c11ac2e1b,,False,0.0,low,,0.6435997042162006,0,0.6435997042162006,17131.0
77ae3675-67bf-43d4-9c24-f2bda246cc50,,False,0.0,low,,0.6132941102474543,0,0.6132941102474543,40153.0
ffbb780b-234f-455f-ae55-74958ac03f06,,False,0.0,low,,0.6297262578235829,0,0.6297262578235829,26913.0
42cb1e94-f3da-4bee-9344-4763f5720c5f,,False,0.2474,low,education_salary,0.6467938094058421,0,0.7341770209588367,1898.0
a9948567-5344-407e-a719-9004de5549c6,,False,0.0,low,,0.619275229396969,0,0.619275229396969,35731.0
5d460aff-7df1-40c3-bccc-6cac24e1e11d,,False,0.0,low,,0.6244606192077954,0,0.6244606192077954,31469.0
49771819-71e6-44d9-b78e-035a1a5cdedf,,False,0.0,low,,0.6206246874350985,0,0.6206246874350985,34649.0
d95a3f2b-bc3c-42ee-b3c8-be78b981cc2c,,False,0.0,low,,0.6144669368153495,0,0.6144669368153495,39345.0
ddd5dc1b-4625-4a99-994c-9e3e525508aa,,False,0.4011,medium,salary_profession|education_salary|interaction_sparse_inconsistency,0.6245156389954933,0,0.775122416194401,584.0
09335786-c93e-4b4e-9f8c-6546a706eea6,,False,0.0642,low,interaction_sparse_inconsistency,0.6449090354458857,0,0.6677058753702598,8051.0
abf371e0-ee58-4a72-9825-3e077bf50e93,,False,0.1186,low,interaction_sparse_inconsistency,0.6448613969121497,0,0.6869808352383688,5328.0
e145f0b1-7223-46cb-94a1-a7c9a8fdb35f,,False,0.0,low,,0.6367065061495375,0,0.6367065061495375,21588.0
74096e5a-f30e-4cc8-aec2-649878e39c87,,False,0.0,low,,0.645471412216597,0,0.645471412216597,16066.0
61f33961-f8ce-41bf-b6e2-93c8c78836c6,,False,0.0,low,,0.6248073203406025,0,0.6248073203406025,31174.0
f12c800d-7455-4cea-98ba-ae433a226d3f,,False,0.0,low,,0.6172929619872052,0,0.6172929619872052,37290.0
913a4989-16b4-4eff-a876-ec9711b57025,functional,True,0.0,low,,0.6213840484430193,0,0.6213840484430193,34023.0
4ebd7c9d-9d90-41f1-9326-30d8b534440f,,False,0.0,low,,0.6182236239621055,0,0.6182236239621055,36571.0
56702e9f-94c0-4101-9802-90c80ec9db1e,,False,0.0,low,,0.6247046110215322,0,0.6247046110215322,31257.0
808c8b59-4bd2-491c-92c0-4a6b28c018cb,,False,0.0642,low,interaction_sparse_inconsistency,0.6105140611983224,0,0.6355190584693902,22385.0
ea79654e-f47d-406f-8e23-db97f6aad3e0,,False,0.0,low,,0.626630011712257,0,0.626630011712257,29563.0
4a2edae1-5eef-49ef-8069-e137b7ad568f,,False,0.0,low,,0.6261569467726393,0,0.6261569467726393,29973.0
9cf716ef-2f4e-4fe3-94db-90b19dd26b20,,False,0.2474,low,education_salary,0.6372369256469279,0,0.7269845102418779,2260.0
a5127aee-b740-4856-a09a-05795a14fd63,,False,0.0642,low,interaction_sparse_inconsistency,0.6144451876743762,0,0.6391978066256812,19899.0
23e55e1d-a7a2-4fd7-aa0c-9c2dc5263125,,False,0.0,low,,0.6167802678479106,0,0.6167802678479106,37669.0
6996dfb2-4d5b-4dd1-a0da-dbb76139974c,,False,0.0,low,,0.6334484045647851,0,0.6334484045647851,23941.0
a710f914-7d36-412c-8b0b-2d65355e0b94,,False,0.0,low,,0.6252624866667054,0,0.6252624866667054,30772.0
f45e44d8-4317-4043-94c4-3611832ee796,,False,0.0,low,,0.6186271889002857,0,0.6186271889002857,36242.0
2cf51739-7570-4837-a29b-eedab82763a7,,False,0.0642,low,interaction_sparse_inconsistency,0.624564215937095,0,0.6486671932739335,14358.0
967cfb3b-7bc3-40f5-adff-21e35210e361,,False,0.1742,low,salary_profession,0.61561842215426,0,0.6825776930149878,5797.0
558ddd9e-767b-4f56-8b1a-20bcdeaf2ce6,,False,0.0,low,,0.608628103514854,0,0.608628103514854,42995.0
cef08504-9a05-4634-bb07-dbd41e181085,,False,0.0,low,,0.599715037234573,0,0.599715037234573,46230.0
59ed3934-4887-46a1-83b3-1f9857682b27,,False,0.0711,low,email_quality,0.6116938755388732,0,0.6393024409880593,19833.0
44863164-e445-42a9-a87d-15cd98cbe99b,,False,0.0,low,,0.6225463475744453,0,0.6225463475744453,33059.0
251a24e0-7589-43aa-8b36-2698e7b52825,,False,0.0,low,,0.6049363634153164,0,0.6049363634153164,44657.0
4f4b8f97-9ed1-4502-93cb-1a3fa2e53e8d,,False,0.0,low,,0.6101186574440192,0,0.6101186574440192,42154.0
b0d3a7ff-b14e-449d-8560-b9e3f8128b17,,False,0.2588,low,salary_profession,0.6311959499606778,0,0.7266424381108544,2280.0
760b23eb-e4dd-4fb7-95c6-b82eeff75dee,,False,0.0,low,,0.6210494625161194,0,0.6210494625161194,34299.0
53a4c4e9-4384-4506-a016-ce86f7e1764d,,False,0.0,low,,0.6292550791816314,0,0.6292550791816314,27304.0
a007ff7a-25cc-4334-a255-fb5f9fc072f3,,False,0.0,low,,0.6131339134950571,0,0.6131339134950571,40268.0
c900ee01-c4c0-4239-be40-7652e94cda8a,template_bio,True,0.0642,low,interaction_sparse_inconsistency,0.6541179763746997,1,0.6763236022914441,6582.0
770ad3ed-8a4e-4d3b-af46-f7a78116b4ee,,False,0.0,low,,0.6125039746536107,0,0.6125039746536107,40699.0
1f289663-9eef-4cf9-9089-0db72ee882d6,coordinated_ring,True,0.0711,low,email_quality,0.6488691170916896,0,0.6738345228664704,6936.0
1064479d-6405-42ce-ad4e-94e57377c40c,functional,True,0.7366,high,age_experience|email_quality|interaction_sparse_inconsistency,0.5950392037279699,0,0.8933333262619473,75.0
49c25e79-5077-4e7c-bdfd-25bf17d71a5e,,False,0.0,low,,0.6301151225443891,0,0.6301151225443891,26588.0
b54613b2-4116-4776-8479-65d33d53da69,,False,0.0,low,,0.6219167602758222,0,0.6219167602758222,33592.0
93b0fbcb-8d7a-4a74-96ce-ed357c1e69cd,,False,0.1733,low,education_salary,0.6292429259843653,0,0.6934951269112748,4713.0
10b9318a-6d2c-4fac-8e11-b431787c2e2e,,False,0.0711,low,email_quality,0.6250006997711814,0,0.6516631500174503,13006.0
80972aef-1ac9-4aeb-96da-5dd2a7c504ac,,False,0.1863,low,education_salary,0.6410990645840212,0,0.707962308852018,3605.0
e6dba1cb-6de3-44f9-8803-a4ab88dd3242,,False,0.0,low,,0.6526650625699832,0,0.6526650625699832,12592.0
187d01cf-66e3-45ef-a698-ef135e6d7991,,False,0.0,low,,0.6303525404204022,0,0.6303525404204022,26402.0
ab9eb4cc-9ece-41e9-aea6-b3c4d77e3e79,,False,0.0642,low,interaction_sparse_inconsistency,0.6297803744281487,0,0.6535484743898616,12217.0
500be8ca-f8ad-44d8-b7d5-623f0a5231de,,False,0.0,low,,0.608567363307381,0,0.608567363307381,43020.0
6c2f9e23-1d07-43bb-bb6e-ee68e843503d,,False,0.0,low,,0.6038667814670742,0,0.6038667814670742,45073.0
8130242d-fe5a-4c03-894a-68df4aa9bedb,,False,0.0,low,,0.5855269962237195,0,0.5855269962237195,47220.0
576603fa-72a8-43eb-8908-6617e63ba6b2,,False,0.0,low,,0.6385349642260298,0,0.6385349642260298,20339.0
9c66ac19-9884-4db4-9493-e2c55659abde,,False,0.0,low,,0.6327304350082921,0,0.6327304350082921,24493.0
449eecc2-3059-4953-9b46-fc05c472c969,,False,0.4388,medium,salary_profession|education_salary|interaction_sparse_inconsistency,0.6024335121653837,0,0.7768856870272134,562.0
e3844eeb-ccf1-4c51-8156-45c67d060b2c,,False,0.0,low,,0.6423839504594477,0,0.6423839504594477,17870.0
a21a887a-63ed-4d8d-b09e-801fb3f8c0b4,,False,0.0,low,,0.6112783075668324,0,0.6112783075668324,41441.0
5aa83566-2373-4855-8177-a9494489586b,,False,0.0,low,,0.6086959287059118,0,0.6086959287059118,42967.0
0d460175-d522-443d-99eb-c9793ff909de,,False,0.0,low,,0.6222846254798362,0,0.6222846254798362,33264.0
a7e1222f-6828-4ff6-89b3-055c20760c6f,,False,0.2474,low,education_salary,0.6284875010599618,0,0.7203996932977272,2702.0
d84de174-2f46-496d-97ff-8c83b5b2191f,,False,0.0,low,,0.63495214142771,0,0.63495214142771,22795.0
82c1c53e-13e4-4dac-8c83-c57931a9cef7,,False,0.0711,low,email_quality,0.591606117422715,0,0.6206429224739599,34638.0
cd2ad071-f4fa-450f-aceb-7bf87cf2c233,,False,0.0,low,,0.6216318590358145,0,0.6216318590358145,33842.0
e8e5132d-e605-424b-abed-3d353a58d31b,,False,0.0,low,,0.6379523395912303,0,0.6379523395912303,20702.0
e640a561-d93a-47ad-ad89-b3c240c08c4f,,False,0.0,low,,0.6119621961409845,0,0.6119621961409845,41039.0
5f19d160-8468-4015-ae4f-3a35115b27c7,,False,0.1825,low,email_quality,0.6279037749159089,0,0.6958113359937554,4496.0
4af82366-3c25-4424-85ed-d6b719122d85,,False,0.0,low,,0.6210149823041993,0,0.6210149823041993,34331.0
6fb0d415-004b-48f3-8fbe-de6dfbe95d2b,,False,0.0,low,,0.6211884031651327,0,0.6211884031651327,34187.0
c7ed364d-1e2f-4285-8c4d-dc3ff0317118,,False,0.0,low,,0.6233761841224196,0,0.6233761841224196,32367.0
80c971e1-c640-4672-a6ca-e527dfb1c572,functional,True,0.0,low,,0.6419508840540501,0,0.6419508840540501,18151.0
3da0d9d6-8150-46b1-99fe-f2a9aa1d2812,,False,0.0,low,,0.6372107906564599,0,0.6372107906564599,21213.0
9708122d-cd26-48bb-831d-fc15a8d77d54,functional,True,0.2474,low,education_salary,0.6336229708230761,0,0.7242646478414471,2447.0
ffef2fa0-939f-4c16-bf2a-5686b1239381,,False,0.0642,low,interaction_sparse_inconsistency,0.621655898691711,0,0.6459455899957032,15791.0
055780cb-7798-442c-af67-97e36449b777,,False,0.0642,low,interaction_sparse_inconsistency,0.6164673257980162,0,0.6410901234817836,18672.0
3eeb9d62-d96d-4c00-adbe-f4bb95e317cf,template_bio,True,0.0711,low,email_quality,0.64414694755312,1,0.6694480995820931,7713.0
0d3cb149-7671-44e2-9847-77120e7a21af,,False,0.0711,low,email_quality,0.6166196193084869,0,0.6438779643756534,16964.0
e1d56083-763d-42ff-b3ac-a45a87f3a219,,False,0.0,low,,0.5068359100083474,0,0.5068359100083474,49482.0
442c79e5-770e-4dfd-bc9b-ed4c892c9c8c,,False,0.2474,low,education_salary,0.627683925345099,0,0.7197949222147215,2749.0
2617f75e-547a-4861-8f86-b0635e212e1f,,False,0.0642,low,interaction_sparse_inconsistency,0.6148367077109367,0,0.6395641910758946,19671.0
5b2544ac-821c-4f92-b022-421b01dc9817,,False,0.0,low,,0.6278643542324396,0,0.6278643542324396,28511.0
